Sample,trt_id,trt,block,rotation,crop_numb,numb,richness,Lab_ID,107.27,108.47,109.66,110.43,111.55,113.5,114.49,116.53,121.59,124.17,125.13,130.35,131.56,134.93,140.98,143.77,153.82,154.85,157.08,158.97,161.69,166.38,170.49,172.66,178.83,183.6,191.07,196.24,201.4,202.38,206.14,207.98,210.83,220,232.7,233.68,235.42,236.48,244.73,250,252.7,269.34,281.54,283.63,285.29,288.9,289.94,304.22,305.6,306.31,307.51,334.32,351.66,353.56,354.58,361.11,361.98,363.16,364.2,365.21,373.97,384.56,395.15,400.3,404.12,404.96,421.76,427.5,428.38,429.58,438.27,439.29,450.43,472.36,512.85,529.25,532.99,534.04,586.23,587.29,588.41,592.2
BD-20,B-314,B9,3,CSW,3,high,16,B9-314,0,0,0,0.028272856,0,0,0,0,0.114008315,0,0.017295301,0,0,0,0,0,0,0,0,0.179283319,0.009394978,0,0,0,0,0,0,0,0.006531268,0.046698569,0,0,0,0.007485838,0.014431591,0.11260158,0,0,0,0,0,0,0,0,0,0,0,0.002813469,0.180124848,0.094075386,0.104261653,0,0.069294246,0,0,0,0,0,0,0,0.013426781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-28,B-409,B9,4,CSW,3,high,9,B9-409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021353924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005591426,0.021846502,0.137402649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017147041,0.022086135,0.043999201,0,0,0,0,0,0,0,0,0,0.02694535,0,0
BD-05,B-109,B12,1,CS,2,low,5,B12-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069653459,0,0.045826696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006271373,0,0,0,0,0.076125338,0,0
BD-13,B-202,B12,2,CS,2,low,3,B12-202,0,0.703494042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231692321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064813637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-21,B-313,B12,3,CS,2,low,6,B12-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013018117,0,0,0,0,0,0,0,0,0,0,0.005974685,0,0,0,0,0,0,0,0,0.025637064,0,0,0,0,0,0,0,0.037251645,0,0
BD-33,B-112,B15,1,C-1cov,2,low,14,B15-112,0,0,0,0,0,0,0,0,0,0,0.017497861,0,0,0,0,0,0,0,0,0,0,0,0.005759484,0,0,0,0,0,0.009697874,0.098898567,0,0.055455603,0,0.026405863,0,0,0,0.008524036,0,0,0,0,0,0,0,0,0,0.00838142,0,0,0,0,0.006812647,0.004256533,0.070507054,0,0,0,0.005518134,0.034436229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-35,B-301,B15,3,C-1cov,2,low,3,B15-301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008174592,0,0,0,0,0,0,0,0,0.008262491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-36,B-415,B15,4,C-1cov,2,low,7,B15-415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015716947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008738209,0.018940178,0,0,0,0,0,0,0,0.07410474,0,0,0.453795428,0.252358281,0,0,0,0
BD-06,B-108,B18,1,C,1,low,7,B18-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013315947,0,0,0,0,0,0,0,0,0.003378957,0.026945994,0,0,0,0.00635815,0,0,0,0,0,0.006891169,0,0,0.006424778,0,0,0,0,0,0
BD-14,B-208,B18,2,C,1,low,5,B18-208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019541987,0,0,0,0,0,0,0,0,0,0.018587426,0,0,0,0,0,0,0,0,0,0.0091302,0,0,0,0,0,0.636427113,0,0,0
BD-22,B-311,B18,3,C,1,low,15,B18-311,0,0.03493037,0.015375244,0.009220946,0,0,0,0,0,0.022852822,0.009073915,0.079984877,0.03014136,0.067928333,0.080783045,0.031716692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011888508,0,0,0,0,0,0.015753324,0,0,0,0.007981684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03606461,0,0
BD-15,B-218,B19,2,S,1,low,4,B19-218,0,0,0,0,0,0,0,0,0,0.187571363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097749196,0,0,0,0,0,0,0,0,0,0,0,0,0.005590918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-23,B-315,B19,3,S,1,low,5,B19-315,0,0.02112061,0,0,0,0,0,0,0,0,0.010441204,0,0,0,0,0,0,0,0,0,0,0,0,0.086030755,0,0,0,0,0,0,0,0,0.121575841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-24,B-315,B19,3,S,1,low,5,B19-315,0,0.03112061,0,0,0,0,0,0,0,0,0.020441204,0,0,0,0,0,0,0,0,0,0,0,0,0.076030755,0,0,0,0,0,0,0,0,0.101575841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-16,B-215,B20,2,W,1,low,2,B20-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004422012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-32,B-420,B20,4,W,1,low,2,B20-420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041782448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-37,B-420,B20,4,W,1,low,2,B20-420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031782448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
