LabID,trt_id,trt,trt_short,block,rotation,crop_numb,107.27,108.47,109.66,110.43,111.55,113.5,114.49,116.53,121.59,124.17,125.13,130.35,131.56,134.93,140.98,143.77,153.82,154.85,157.08,158.97,161.69,166.38,170.49,172.66,178.83,183.6,191.07,196.24,201.4,202.38,206.14,207.98,210.83,220,232.7,233.68,235.42,236.48,244.73,250,252.7,269.34,281.54,283.63,285.29,288.9,289.94,304.22,305.6,306.31,307.51,334.32,351.66,353.56,354.58,361.11,361.98,363.16,364.2,365.21,373.97,384.56,395.15,400.3,404.12,404.96,421.76,427.5,428.38,429.58,438.27,439.29,450.43,472.36,512.85,529.25,532.99,534.04,585.16,586.23,587.29,588.41,592.2
BD-12,B-205,B9,9,2,CSW,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-13,B-202,B12,12,2,CS,2,0,33181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-14,B-208,B18,18,2,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,0,0,0,0,0,0,0,0,0,2103,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,35788,72006,0,0,0
BD-15,B-218,B19,19,2,S,1,0,0,0,0,0,0,0,0,0,14292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54029,0,0,0,0
BD-16,B-215,B20,20,2,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87580,0,0,0,0
BD-17,B-316,B2,2,3,fallow,10,819,0,0,0,0,1196,12134,517,0,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29041,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-18,B-306,B3,3,3,CSW-2cov,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-19,B-317,B6,6,3,CSW-1cov,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-20,B-314,B9,9,3,CSW,3,0,0,0,2251,0,0,0,0,9077,0,1377,0,0,0,0,0,0,0,0,14274,748,0,0,0,0,0,0,0,520,3718,0,0,0,596,1149,8965,0,0,0,0,0,0,0,0,0,0,0,224,14341,7490,8301,0,5517,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD-21,B-313,B12,12,3,CS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,70899,0,2893,0,0
BD-22,B-311,B18,18,3,C,1,0,1663,732,439,0,0,0,0,0,1088,432,3808,1435,3234,3846,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,750,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26009,0,1717,0,0
BD-23,B-315,B19,19,3,S,1,0,1596,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,6501,0,0,0,0,0,0,0,0,9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57493,0,0,0,0
BD-24,B-318,B20,20,3,W,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-25,B-402,B2,2,4,fallow,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,5685,534,0,0,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68903,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739,0,0,0,0
BD-26,B-403,B3,3,4,CSW-2cov,5,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,708,1107,487,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75195,0,0,0,0
BD-27,B-406,B6,6,4,CSW-1cov,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-28,B-409,B9,9,4,CSW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,420,1641,10321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,1659,3305,0,0,0,0,0,0,0,0,52853,0,2024,0,0
BD-29,B-412,B12,12,4,CS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-30,B-418,B18,18,4,C,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-31,B-419,B19,19,4,S,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-32,B-420,B20,20,4,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56898,0,0,0,0
BD-33,B-112,B15,15,1,C-1cov,2,0,0,0,0,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,884,9015,0,5055,0,2407,0,0,0,777,0,0,0,0,0,0,0,0,0,764,0,0,0,0,621,388,6427,0,0,0,503,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59054,0,0,0,0
BD-34,B-213,B15,15,2,C-1cov,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD-35,B-301,B15,15,3,C-1cov,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78328,0,0,0,0
BD-36,B-415,B15,15,4,C-1cov,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,1281,0,0,0,0,0,0,0,5012,0,0,30692,17068,11927,0,0,0,0
